Price,Area,Bedroom,Bathroom
1480000.0,202.0,2,1.0
1035000.0,156.0,2,1.0
1465000.0,134.0,3,2.0
850000.0,94.0,3,2.0
1600000.0,120.0,4,1.0
941000.0,181.0,2,1.0
1876000.0,245.0,3,2.0
1636000.0,256.0,2,1.0
300000.0,8057.0,1,1.0
1097000.0,220.0,2,1.0
700000.0,8057.0,2,2.0
1350000.0,214.0,3,2.0
750000.0,8057.0,2,2.0
1172500.0,195.0,2,1.0
441000.0,8057.0,1,1.0
1310000.0,238.0,2,1.0
1200000.0,113.0,3,2.0
1176500.0,138.0,3,1.0
955000.0,183.0,3,1.0
890000.0,150.0,2,1.0
1330000.0,780.0,4,2.0
900000.0,8057.0,3,2.0
1090000.0,4290.0,3,2.0
500000.0,8057.0,2,1.0
1100000.0,124.0,2,2.0
1315000.0,147.0,2,1.0
426000.0,8057.0,1,1.0
1447500.0,166.0,3,3.0
457000.0,8057.0,1,1.0
1135000.0,98.0,2,2.0
1542000.0,8057.0,4,3.0
1290000.0,147.0,3,2.0
1290000.0,168.0,3,1.0
470000.0,8057.0,1,1.0
1180000.0,162.0,2,1.0
1195000.0,120.0,3,2.0
1012500.0,182.0,2,1.0
1030000.0,172.0,2,1.0
840000.0,303.0,3,2.0
730000.0,8057.0,3,2.0
770000.0,8057.0,3,2.0
603000.0,272.0,2,1.0
700000.0,239.0,3,2.0
600000.0,290.0,3,1.0
500000.0,168.0,2,1.0
720000.0,620.0,3,1.0
785000.0,597.0,4,1.0
725000.0,976.0,6,3.0
450000.0,110.0,2,1.0
515000.0,141.0,2,1.0
530000.0,120.0,2,1.0
895000.0,1063.0,3,1.0
805000.0,8057.0,3,1.0
752000.0,265.0,3,1.0
440000.0,192.0,2,1.0
755000.0,596.0,5,2.0
700000.0,165.0,3,2.0
830000.0,971.0,3,1.0
462500.0,164.0,2,1.0
670000.0,657.0,3,2.0
675000.0,612.0,2,1.0
1042000.0,612.0,3,2.0
910000.0,775.0,3,1.0
773000.0,531.0,4,3.0
810000.0,555.0,3,3.0
715000.0,422.0,3,2.0
790000.0,614.0,3,1.0
540000.0,161.0,3,2.0
825000.0,293.0,3,2.0
685000.0,579.0,3,1.0
805000.0,623.0,3,1.0
510000.0,141.0,2,1.0
612000.0,212.0,3,2.0
662000.0,612.0,3,1.0
978000.0,532.0,4,3.0
720000.0,585.0,3,1.0
