Price,Area,Bedroom,Bathroom
1090000.0,4290.0,3,2.0
895000.0,1063.0,3,1.0
830000.0,971.0,3,1.0
670000.0,657.0,3,2.0
910000.0,775.0,3,1.0
1165000.0,979.0,3,1.0
780000.0,655.0,4,1.0
1070000.0,695.0,4,2.0
845000.0,745.0,4,1.0
980000.0,724.0,3,1.0
1030000.0,797.0,4,1.0
857000.0,675.0,2,2.0
900000.0,697.0,3,1.0
965000.0,851.0,4,1.0
923000.0,740.0,3,1.0
988000.0,715.0,3,1.0
610000.0,691.0,2,1.0
970000.0,708.0,4,1.0
760000.0,668.0,4,1.0
550000.0,861.0,2,1.0
735000.0,2113.0,3,2.0
390000.0,881.0,1,1.0
710000.0,2471.0,2,1.0
872000.0,1194.0,2,1.0
390000.0,1957.0,2,1.0
500000.0,710.0,2,1.0
1250000.0,842.0,3,1.0
1075000.0,695.0,2,1.0
1120000.0,723.0,3,1.0
1270000.0,724.0,4,2.0
1100000.0,803.0,4,2.0
1060000.0,772.0,3,1.0
1240000.0,766.0,4,2.0
1200000.0,839.0,3,2.0
670000.0,671.0,3,2.0
1160000.0,789.0,4,3.0
950000.0,761.0,4,3.0
615000.0,649.0,3,1.0
845000.0,704.0,3,1.0
850000.0,766.0,3,1.0
1100000.0,873.0,4,3.0
730000.0,705.0,3,2.0
875000.0,812.0,3,1.0
390000.0,740.0,1,1.0
735000.0,1075.0,2,1.0
1260000.0,793.0,4,2.0
1110000.0,692.0,3,1.0
1275000.0,758.0,3,1.0
420000.0,1045.0,2,1.0
725000.0,677.0,2,1.0
1165000.0,694.0,3,1.0
1230000.0,676.0,3,1.0
1275000.0,683.0,5,2.0
1137500.0,696.0,4,1.0
1215000.0,730.0,3,2.0
1100000.0,653.0,4,2.0
840000.0,697.0,3,2.0
1208000.0,747.0,3,1.0
1165000.0,732.0,3,1.0
1270000.0,694.0,3,1.0
1010000.0,658.0,4,1.0
880000.0,660.0,3,1.0
1085000.0,710.0,3,2.0
1050000.0,726.0,3,1.0
1200000.0,721.0,3,1.0
900000.0,780.0,3,1.0
1140000.0,701.0,3,1.0
1120000.0,678.0,2,1.0
780000.0,710.0,3,1.0
1115000.0,1080.0,3,2.0
1197000.0,692.0,3,1.0
1266000.0,676.0,3,1.0
900000.0,741.0,4,1.0
1180000.0,687.0,2,1.0
1160000.0,750.0,2,1.0
288000.0,774.0,1,1.0
1170000.0,755.0,3,1.0
870000.0,700.0,3,2.0
868000.0,749.0,2,1.0
826000.0,667.0,2,1.0
765000.0,658.0,3,1.0
505000.0,4931.0,3,2.0
1200000.0,775.0,5,2.0
563000.0,1233.0,2,1.0
600000.0,768.0,2,1.0
501000.0,1140.0,2,1.0
491000.0,1080.0,2,1.0
916000.0,1328.0,2,1.0
820000.0,4668.0,3,2.0
740000.0,4676.0,3,2.0
947000.0,996.0,3,1.0
370000.0,2120.0,2,1.0
910000.0,717.0,3,1.0
1150000.0,726.0,3,1.0
980000.0,701.0,3,1.0
1225000.0,723.0,4,2.0
1002000.0,650.0,4,1.0
1260000.0,730.0,4,2.0
1085000.0,1124.0,4,2.0
1280000.0,732.0,4,1.0
1050000.0,728.0,3,2.0
1000000.0,672.0,4,2.0
1250000.0,732.0,4,2.0
976000.0,701.0,4,1.0
1100000.0,693.0,4,2.0
1250000.0,662.0,3,1.0
1151000.0,695.0,3,1.0
1160000.0,786.0,3,1.0
1070500.0,776.0,3,1.0
1175000.0,661.0,3,1.0
615000.0,1107.0,2,1.0
435000.0,896.0,2,1.0
435000.0,896.0,2,1.0
765000.0,1031.0,2,1.0
468000.0,861.0,1,1.0
860000.0,1113.0,3,2.0
586000.0,898.0,2,1.0
405000.0,967.0,2,1.0
468250.0,912.0,2,1.0
323000.0,820.0,1,1.0
550000.0,806.0,2,1.0
580000.0,934.0,2,1.0
290000.0,952.0,1,1.0
450000.0,1092.0,2,1.0
622000.0,934.0,2,2.0
536000.0,771.0,2,1.0
525500.0,831.0,2,1.0
705000.0,842.0,2,1.0
680000.0,702.0,3,1.0
1130000.0,735.0,3,1.0
1007000.0,807.0,1,2.0
645000.0,702.0,2,1.0
895000.0,661.0,4,2.0
935000.0,833.0,2,1.0
780000.0,677.0,3,1.0
855000.0,2886.0,2,1.0
452000.0,816.0,1,1.0
440000.0,2773.0,1,1.0
415000.0,3701.0,1,1.0
515000.0,816.0,2,1.0
713500.0,1060.0,2,2.0
1125000.0,819.0,3,2.0
920000.0,655.0,3,3.0
1225000.0,740.0,4,3.0
1250000.0,780.0,4,2.0
1275000.0,720.0,3,1.0
1200000.0,657.0,4,1.0
1250000.0,767.0,4,2.0
1140000.0,679.0,2,1.0
1180000.0,657.0,3,1.0
1190000.0,658.0,3,1.0
1250000.0,728.0,3,2.0
1030000.0,827.0,3,1.0
1250000.0,900.0,3,2.0
1152500.0,648.0,3,2.0
990000.0,746.0,3,1.0
1020000.0,725.0,3,1.0
1100000.0,771.0,3,2.0
1202000.0,649.0,3,2.0
591000.0,815.0,2,1.0
626000.0,1764.0,2,1.0
855000.0,1966.0,2,1.0
1050000.0,2381.0,2,2.0
955000.0,2925.0,2,1.0
686000.0,1622.0,2,1.0
559000.0,1307.0,2,1.0
369000.0,1547.0,1,1.0
470000.0,900.0,1,1.0
932000.0,799.0,2,2.0
920000.0,758.0,3,2.0
572500.0,1307.0,2,2.0
595000.0,752.0,2,1.0
1100000.0,789.0,3,2.0
445000.0,916.0,2,1.0
890000.0,649.0,2,1.0
872000.0,862.0,3,1.0
440000.0,1011.0,2,1.0
393000.0,999.0,2,1.0
510000.0,1658.0,2,1.0
850000.0,2782.0,3,2.0
420000.0,782.0,1,1.0
700000.0,4332.0,2,2.0
930000.0,2778.0,2,3.0
700000.0,4296.0,2,2.0
720000.0,4296.0,2,2.0
490000.0,4296.0,2,1.0
380000.0,2077.0,1,1.0
395000.0,818.0,1,1.0
605000.0,2794.0,2,1.0
291000.0,665.0,1,1.0
950000.0,657.0,2,1.0
674000.0,8680.0,3,2.0
282000.0,1783.0,1,1.0
315000.0,882.0,2,1.0
